"No.","Time","Source","Destination","Protocol","Length","Info"
"5082","13.819307","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1235 Ack=72418 Win=1024 Len=3"
"5083","13.830374","35.217.37.16","192.168.3.2","UDP","363","50004  >  63452 Len=321"
"5084","13.830842","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","245","50002  >  63328 Len=203 (SendTTL=30, Round=165)"
"5085","13.849832","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","239","50002  >  63328 Len=197 (SendTTL=30, Round=165)"
"5086","13.850751","35.217.37.16","192.168.3.2","UDP","368","50004  >  63452 Len=326"
"5087","13.859776","107.161.154.161","192.168.3.2","TCP","249","25941  >  55851 [PSH, ACK] Seq=72418 Ack=1232 Win=774 Len=195"
"5088","13.870248","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=72613 Ack=1238 Win=774 Len=0"
"5089","13.870609","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","237","50002  >  63328 Len=195 (SendTTL=30, Round=165)"
"5090","13.871104","35.217.37.16","192.168.3.2","UDP","374","50004  >  63452 Len=332"
"5091","13.890464","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","232","50002  >  63328 Len=190 (SendTTL=30, Round=165)"
"5092","13.892758","35.217.37.16","192.168.3.2","UDP","374","50004  >  63452 Len=332"
"5093","13.909237","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","224","50002  >  63328 Len=182 (SendTTL=30, Round=165)"
"5094","13.910565","35.217.37.16","192.168.3.2","UDP","382","50004  >  63452 Len=340"
"5095","13.911740","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1238 Ack=72613 Win=1023 Len=0"
"5096","13.912625","107.161.154.161","192.168.3.2","TCP","404","25941  >  55851 [PSH, ACK] Seq=72613 Ack=1238 Win=774 Len=350"
"5097","13.919249","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1238 Ack=72963 Win=1022 Len=3"
"5098","13.923286","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1241 Ack=72963 Win=1022 Len=3"
"5099","13.930869","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","228","50002  >  63328 Len=186 (SendTTL=30, Round=165)"
"5100","13.930923","35.217.37.16","192.168.3.2","UDP","373","50004  >  63452 Len=331"
"5101","13.950427","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","227","50002  >  63328 Len=185 (SendTTL=30, Round=165)"
"5102","13.951223","35.217.37.16","192.168.3.2","UDP","380","50004  >  63452 Len=338"
"5103","13.962026","107.161.154.161","192.168.3.2","TCP","270","25941  >  55851 [PSH, ACK] Seq=72963 Ack=1238 Win=774 Len=216"
"5104","13.969256","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","220","50002  >  63328 Len=178 (SendTTL=30, Round=165)"
"5105","13.971634","35.217.37.16","192.168.3.2","UDP","375","50004  >  63452 Len=333"
"5106","13.974486","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=73179 Ack=1244 Win=774 Len=0"
"5107","13.990609","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","227","50002  >  63328 Len=185 (SendTTL=30, Round=165)"
"5108","13.990632","35.217.37.16","192.168.3.2","UDP","367","50004  >  63452 Len=325"
"5109","14.005519","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1244 Ack=73179 Win=1021 Len=0"
"5110","14.012564","107.161.154.161","192.168.3.2","TCP","230","25941  >  55851 [PSH, ACK] Seq=73179 Ack=1244 Win=774 Len=176"
"5111","14.012564","35.217.37.16","192.168.3.2","UDP","410","50004  >  63452 Len=368"
"5112","14.012761","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","223","50002  >  63328 Len=181 (SendTTL=30, Round=165)"
"5113","14.016378","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1244 Ack=73355 Win=1021 Len=3"
"5114","14.018088","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1247 Ack=73355 Win=1021 Len=3"
"5115","14.027132","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","243","50002  >  63328 Len=201 (SendTTL=30, Round=165)"
"5116","14.031630","35.217.37.16","192.168.3.2","UDP","393","50004  >  63452 Len=351"
"5117","14.033988","192.168.3.2","35.217.16.75","RTCP","70","Receiver Report   "
"5118","14.047611","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","236","50002  >  63328 Len=194 (SendTTL=30, Round=165)"
"5119","14.050238","35.217.37.16","192.168.3.2","UDP","356","50004  >  63452 Len=314"
"5120","14.060246","107.161.154.161","192.168.3.2","TCP","379","25941  >  55851 [PSH, ACK] Seq=73355 Ack=1244 Win=774 Len=325"
"5121","14.060272","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1250 Ack=73680 Win=1025 Len=0"
"5122","14.068210","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","225","50002  >  63328 Len=183 (SendTTL=30, Round=165)"
"5123","14.069285","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=73680 Ack=1250 Win=774 Len=0"
"5124","14.070357","35.217.37.16","192.168.3.2","UDP","361","50004  >  63452 Len=319"
"5125","14.089188","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","223","50002  >  63328 Len=181 (SendTTL=30, Round=165)"
"5126","14.090851","35.217.37.16","192.168.3.2","UDP","361","50004  >  63452 Len=319"
"5127","14.110849","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5128","14.111121","35.217.37.16","192.168.3.2","UDP","363","50004  >  63452 Len=321"
"5129","14.112980","107.161.154.161","192.168.3.2","TCP","326","25941  >  55851 [PSH, ACK] Seq=73680 Ack=1250 Win=774 Len=272"
"5130","14.112998","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1250 Ack=73952 Win=1024 Len=0"
"5131","14.114958","192.168.3.2","107.161.154.161","TCP","82","55851  >  25941 [PSH, ACK] Seq=1250 Ack=73952 Win=1024 Len=28"
"5132","14.116355","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1278 Ack=73952 Win=1024 Len=3"
"5133","14.117965","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1281 Ack=73952 Win=1024 Len=3"
"5134","14.128921","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5135","14.131194","35.217.37.16","192.168.3.2","UDP","427","50004  >  63452 Len=385"
"5136","14.149983","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5137","14.151038","35.217.37.16","192.168.3.2","UDP","448","50004  >  63452 Len=406"
"5138","14.160100","107.161.154.161","192.168.3.2","TCP","328","25941  >  55851 [PSH, ACK] Seq=73952 Ack=1250 Win=774 Len=274"
"5139","14.167484","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=74226 Ack=1281 Win=774 Len=0"
"5140","14.170013","35.217.37.16","192.168.3.2","UDP","413","50004  >  63452 Len=371"
"5141","14.170851","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5142","14.190561","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5143","14.192930","35.217.37.16","192.168.3.2","UDP","392","50004  >  63452 Len=350"
"5144","14.207216","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1284 Ack=74226 Win=1023 Len=0"
"5145","14.209337","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5146","14.209902","35.217.37.16","192.168.3.2","UDP","420","50004  >  63452 Len=378"
"5147","14.212309","107.161.154.161","192.168.3.2","TCP","364","25941  >  55851 [PSH, ACK] Seq=74226 Ack=1284 Win=774 Len=310"
"5148","14.217026","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1284 Ack=74536 Win=1022 Len=3"
"5149","14.219365","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1287 Ack=74536 Win=1022 Len=3"
"5150","14.231113","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5151","14.231347","35.217.37.16","192.168.3.2","UDP","432","50004  >  63452 Len=390"
"5152","14.250247","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5153","14.250703","35.217.37.16","192.168.3.2","UDP","432","50004  >  63452 Len=390"
"5154","14.260322","107.161.154.161","192.168.3.2","TCP","199","25941  >  55851 [PSH, ACK] Seq=74536 Ack=1284 Win=774 Len=145"
"5155","14.269444","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5156","14.270494","35.217.37.16","192.168.3.2","UDP","412","50004  >  63452 Len=370"
"5157","14.270494","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=74681 Ack=1290 Win=774 Len=0"
"5158","14.290208","35.217.37.16","192.168.3.2","UDP","414","50004  >  63452 Len=372"
"5159","14.290878","35.217.16.75","192.168.3.2","UDP, HiPerConTracer","89","50002  >  63328 Len=47 (SendTTL=30, Round=165)"
"5160","14.300247","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=1290 Ack=74681 Win=1021 Len=0"
"5161","14.311216","35.217.37.16","192.168.3.2","UDP","413","50004  >  63452 Len=371"
"5162","14.311856","107.161.154.161","192.168.3.2","TCP","321","25941  >  55851 [PSH, ACK] Seq=74681 Ack=1290 Win=774 Len=267"
"5163","14.322472","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1290 Ack=74948 Win=1020 Len=3"
